speed ,LV,direction,Power
5.31133604,380.0477905,259.9949036,416.3289078
5.672166824,453.7691956,268.6411133,519.9175111
5.216036797,306.3765869,272.5647888,390.9000158
5.659674168,419.6459045,271.2580872,516.127569
5.577940941,380.6506958,265.6742859,491.702972
5.604052067,402.3919983,264.5786133,499.436385
5.793007851,447.6057129,266.1636047,557.3723633
5.306049824,387.2421875,257.9494934,414.8981788
5.584629059,463.6512146,253.4806976,493.6776521
5.523228168,439.725708,258.7237854,475.7067828
5.724115849,498.1817017,251.8509979,535.841397
5.934198856,526.8162231,265.5046997,603.0140765
6.547413826,710.5872803,274.2329102,824.6625136
6.199746132,655.1942749,266.7331848,693.4726411
6.505383015,754.7625122,266.7604065,808.0981385
6.634116173,790.1732788,270.4931946,859.4590208
6.378912926,742.9852905,266.5932922,759.4345366
6.446652889,748.2296143,265.5718079,785.2810099
6.415082932,736.6478271,261.1586914,773.1728635
6.437530994,787.2462158,257.5602112,781.7712157
6.220024109,722.8640747,255.9264984,700.7646999
6.89802599,935.0333862,250.0128937,970.7366269
7.60971117,1220.609009,255.9857025,1315.048928
7.288355827,1053.771973,255.4445953,1151.265744
7.943101883,1493.807983,256.4074097,1497.583724
8.376161575,1724.488037,252.4125977,1752.199662
8.23695755,1636.935059,247.9794006,1668.470707
7.879590988,1385.488037,238.6096039,1461.815791
7.101376057,1098.932007,245.0955963,1062.285034
6.955307007,1021.458008,245.410202,995.9958546
7.098298073,1164.892944,235.2279053,1060.859712
6.953630924,1073.332031,242.8726959,995.2509608
7.249577999,1165.307983,244.8356934,1132.416861
7.294691086,1177.98999,242.4815979,1154.365305
7.376369953,1170.536011,247.9772034,1194.843099
7.448554039,1145.536011,249.6829987,1231.430706
7.23925209,1114.026978,248.401001,1127.433206
7.329211235,1153.185059,244.6217041,1171.355044
7.139705181,1125.331055,244.6318054,1080.139085
7.474228859,1228.732056,245.7859955,1244.633534
7.033174038,1021.79303,248.6522064,1030.992686
6.886455059,957.3781738,244.6116943,965.6833344
6.887821198,909.8878174,235.8482971,966.2791049
7.216432095,1000.953979,232.8426971,1116.471899
7.068597794,1024.478027,229.933197,1047.170231
6.938295841,1009.533997,230.1367035,988.4519407
6.536687851,899.492981,234.9338074,820.4166586
6.180624962,725.1101074,232.8379059,686.6369422
5.816825867,585.2593994,240.3287964,564.9276595
5.450150967,443.9139099,238.126297,454.7735871
5.81814909,565.2537842,235.800293,565.3490932
6.130272865,644.0377808,224.9586945,668.8235693
6.347077847,712.0588989,216.803894,747.4606734
6.347436905,737.3947754,205.7852936,747.5951091
6.194368839,725.868103,199.8484955,691.5463343
4.977198124,408.997406,207.9978027,330.4176304
5.959111214,628.4368286,210.954895,611.2838365
6.21137619,716.1005859,215.6940002,697.6494744
6.111453056,711.4956055,220.8426056,662.235163
6.456322193,838.1519165,237.0653076,789.0114224
6.666657925,881.0620728,235.6674957,872.7396259
6.16287899,663.703125,229.3296967,680.3278917
6.013167858,578.2615967,234.9006042,628.4425608
5.561203003,465.6200867,230.4228058,486.7795676
4.960731983,311.0509033,229.5375061,326.4110254
4.60387516,230.0554962,231.7984924,244.3162442
4.554533958,233.9906006,234.1056061,233.6327805
4.26362896,175.5921936,228.7767029,173.5736631
3.894139051,118.1331024,227.9389954,108.5712211
4.038761139,142.2024994,224.4649963,130.2299896
4.505650997,212.5661926,224.9505005,223.1967841
4.543397903,222.6100006,229.127594,231.2425073
4.323760986,194.1811981,227.0399933,185.5984796
3.634437084,82.64074707,230.3146057,68.5028198
3.705512047,75.8952179,233.9532928,78.39616535
3.253968,41.94723892,233.0659027,29.28695563
3.775136948,118.5345993,227.7534943,88.87136533
4.693500996,250.7559052,229.8966064,264.1192574
5.002939224,346.8644104,235.2794952,336.7219982
5.364749908,416.4179077,235.5852966,430.921089
5.016181946,331.9414978,229.9429016,339.9849402
5.970407963,583.4799194,235.6952972,615.0556308
6.655520916,776.5526733,241.4573975,868.1808449
6.600903988,752.7263794,242.7821045,846.0294095
5.981378078,589.0731201,234.9844055,618.7314427
7.424593925,1109.128052,235.1472931,1219.199787
8.186451912,1482.459961,238.4790955,1638.508909
8.27493,1523.430054,237.0332031,1691.147039
8.449202538,1572.170044,238.3323975,1796.76309
8.575974464,1698.939941,235.6414032,1875.047197
8.282259941,1616.845947,236.4613953,1695.538777
8.734552383,1796.823975,234.3547974,1974.4758
8.764103889,1885.860962,231.0016022,1993.170712
9.669431686,2327.511963,227.6000977,2568.827129
10.14109039,2499.162109,227.7315979,2876.753616
10.77241993,2820.512939,225.2763977,3186.029883
10.64752007,2812.279053,224.680603,3133.259224
9.982661247,2530.447021,225.5195007,2781.274041
9.874385834,2399.121094,227.2738037,2711.492458
9.785479546,2335.587891,229.2554932,2651.341009
9.614232063,2341.133057,230.7368927,2527.945451
9.618504524,2391.8479,229.490799,2531.14794
9.098683357,2118.389893,223.960907,2207.79282
8.677425385,1866.845947,219.7937012,1938.478601
8.774898529,1865.619019,219.0449066,2000.011716
8.689981461,1862.447998,215.3352051,1946.373955
8.631073952,1884.119019,216.2799988,1909.416256
8.614569664,1855.776978,214.5290985,1899.100734
9.21884346,1958.133057,212.1799011,2285.917032
10.04951954,2228.24292,210.3085938,2822.50949
10.31871033,2529.291016,210.5881042,2974.866796
10.76675987,2788.25708,207.4813995,3183.72246
10.55825043,2692.929932,208.5518951,3093.110672
10.25072002,2535.353027,208.0106964,2938.394607
10.46477032,2584.665039,205.7528992,3048.823833
11.39078045,2960.183105,200.6542969,3393.645541
11.56554031,3062.978027,198.1242981,3437.597135
11.2802496,3024.39209,198.5381927,3362.668742
11.33677959,3187.9729,200.4904022,3378.826271
11.80463982,3387.228027,199.2469025,3488.248491
11.3635397,3209.018066,199.8054962,3386.244486
11.63259029,3272.665039,198.2677002,3452.881108
11.44476032,3209.698975,195.6320038,3407.867876
11.27190018,3134.518066,196.6611023,3360.225775
11.05900955,2977.824951,196.5158997,3292.880925
12.10377979,3431.772949,198.2570038,3537.173706
12.92813969,3604.209961,201.5825958,3597.469467
13.31941986,3601.327881,201.9421997,3600
13.12152004,3604.426025,203.5077972,3600
13.23544979,3604.391113,202.6929932,3600
13.23589993,3604.337891,202.9362946,3600
13.02956009,3554.687988,201.2539063,3600
12.96393967,3479.407959,201.3408966,3597.794635
12.90295029,3472.333008,200.9795074,3597.13106
12.76634026,3491.510986,200.9960022,3593.704942
12.89834976,3536.989014,200.5142059,3597.059449
12.74211025,3528.658936,202.8952942,3592.814313
12.31826019,3581.540039,202.841095,3562.990095
12.41880989,3570.079102,202.4118042,3572.556143
12.54298973,3597.604004,201.6253052,3582.204643
12.67599964,3441.025879,199.3220978,3589.945634
13.00304985,3373.969971,197.1307068,3600
13.29767036,3369.812988,196.4936066,3600
12.84405994,3375.903076,195.3150024,3595.984792
12.70538998,3377.649902,196.0422058,3591.300461
12.1833601,3374.423096,197.7438965,3547.627655
12.20514011,3401.081055,196.8088074,3550.307222
12.60188007,3469.412109,193.8157043,3585.959181
12.84455013,3511.809082,194.3466034,3595.996394
12.49705982,3536.759033,196.009201,3578.911555
12.09607029,3467.808105,197.9526978,3536.105139
12.19612026,3460.677002,201.330307,3549.206917
12.55035019,3589.443115,201.1882019,3582.702554
12.6156702,3527.718994,202.6235962,3586.762967
13.10278034,3561.26709,201.7666016,3600
13.68774986,3604.068115,199.0195007,3600
14.10241985,3604.176025,196.2552032,3600
14.39330959,3593.200928,195.8798981,3600
14.07954979,3493.821045,197.6403046,3600
14.05440044,3470.701904,197.2447968,3600
13.51247025,3436.610107,195.9954071,3600
13.71004963,3401.455078,192.4197998,3600
13.7423296,3395.23291,191.0137024,3600
13.14186001,3417.503906,192.2046967,3600
12.86771011,3465.108887,192.771698,3596.50506
12.84727001,3467.417969,192.4705048,3596.060138
12.73211002,3522.406982,192.5679016,3592.421666
12.51620007,3510.10791,194.9992065,3580.322941
12.59866047,3513.844971,196.0422974,3585.767414
13.23031998,3564.008057,196.4087982,3600
13.0946703,3475.278076,198.5249939,3600
12.91687965,3561.990967,198.0101013,3597.329407
12.63354969,3521.554932,197.6634979,3587.762741
12.82567024,3493.60791,201.1040955,3595.524457
12.54162025,3555.304932,200.3634033,3582.111096
12.10496998,3377.12793,196.9826965,3537.337786
12.36250019,3479.626953,199.798996,3567.394707
12.60391045,3539.112061,201.2702942,3586.079315
12.21222019,3430.436035,198.9846039,3551.161616
11.98762035,3301.917969,202.5711975,3520.011831
11.67932987,3235.543945,200.7035065,3463.031603
12.46971989,3519.022949,197.8733978,3576.798254
12.49489975,3469.537109,201.1011047,3578.748756
11.78983021,3296.186035,200.3565979,3485.417643
10.90355015,3045.51001,199.4629059,3237.314957
12.18807983,3444.741943,202.7460022,3548.214895
11.97813034,3417.746094,199.4022064,3518.508247
10.67446995,2807.613037,197.2297058,3144.977295
9.69664669,2493.393066,200.3191986,2588.59196
11.41759014,3215.196045,200.488205,3400.782508
12.68927002,3589.590088,199.5281067,3590.573175
13.05860043,3599.149902,200.6078033,3600
11.52081966,3375.177002,195.8547058,3426.922472
11.51231003,3346.980957,197.7467041,3424.84719
12.41629982,3567.967041,199.1638031,3572.336603
12.16014957,3519.264893,198.3968964,3544.686608
11.67107964,3485.191895,194.6569977,3461.269666
